experiment_id,timestamp,run_timestamp,dataset_name,train_dataset_name,test_dataset_name,num_videos,train_split,seed,train_texture_type,train_direction,train_view_angle,train_speed_range,train_resolution,train_fps,train_duration,train_brightness,train_contrast,train_lighting_variation,train_lighting_intensity,train_motion_blur,train_camera_noise,train_edge_width,train_stripe_width,train_stripe_spacing,train_stripe_gray,train_background_gray,train_stripe_distance_variance,train_add_object,train_object_type,train_object_position,train_object_size,train_num_objects,train_add_blur,train_blur_type,train_blur_intensity,train_random_blur_variation,train_vary_parameters,test_texture_type,test_direction,test_view_angle,test_speed_range,test_resolution,test_fps,test_duration,test_brightness,test_contrast,test_lighting_variation,test_lighting_intensity,test_motion_blur,test_camera_noise,test_edge_width,test_stripe_width,test_stripe_spacing,test_stripe_gray,test_background_gray,test_stripe_distance_variance,test_add_object,test_object_type,test_object_position,test_object_size,test_num_objects,test_add_blur,test_blur_type,test_blur_intensity,test_random_blur_variation,test_vary_parameters,model_name_or_path,template,lora_output_dir,lora_rank,lora_alpha,lora_dropout,cutoff_len,per_device_train_batch_size,gradient_accumulation_steps,learning_rate,num_train_epochs,lr_scheduler_type,warmup_ratio,bf16,fp16,quantization_bit,logging_steps,save_steps,eval_steps,eval_max_new_tokens,eval_batch_size,eval_video_fps,eval_video_maxlen,gpu_memory_utilization,skip_dataset,skip_training,skip_evaluation,use_docker,dataset_status,training_status,evaluation_status,base_model_accuracy,base_model_f1_score,base_model_f1_moving,base_model_f1_stopped,base_model_precision,base_model_recall,base_model_moving_correct,base_model_moving_total,base_model_stopped_correct,base_model_stopped_total,finetuned_model_accuracy,finetuned_model_f1_score,finetuned_model_f1_moving,finetuned_model_f1_stopped,finetuned_model_precision,finetuned_model_recall,finetuned_model_moving_correct,finetuned_model_moving_total,finetuned_model_stopped_correct,finetuned_model_stopped_total,base_model_per_texture_results,base_model_per_angle_results,finetuned_model_per_texture_results,finetuned_model_per_angle_results,notes_1,notes_2,
2,12/1/2025 13:14,20251201_131404,_exp_20251201_151245,_exp_20251201_151245_train,_exp_20251201_151245_test,100,0.9,42,subtle_gray_stripes,"left,right,up,down","0.0,15.0","0.0,14.0",640x480,4,12,1,1,none,1,0,0,5,20,20,20,15,0,FALSE,,,,,FALSE,,,,FALSE,subtle_gray_stripes,"left,right,up,down","0.0,15.0,30.0,45.0","0.0,14.0",640x480,4,12,1,1,none,1,0,0,5,20,20,15,10,0,FALSE,,,,,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,2,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,50,0,0,0,0,0,0,16,16,16,50,66.67,0,0,50,100,16,16,0,16,"{""subtle_gray_stripes"": {""accuracy"": 50.0, ""f1_score"": 0.0, ""correct"": 16, ""total"": 32}}","{""angle0"": {""accuracy"": 50.0, ""f1_score"": 0.0, ""correct"": 4, ""total"": 8}, ""angle15"": {""accuracy"": 50.0, ""f1_score"": 0.0, ""correct"": 4, ""total"": 8}, ""angle30"": {""accuracy"": 50.0, ""f1_score"": 0.0, ""correct"": 4, ""total"": 8}, ""angle45"": {""accuracy"": 50.0, ""f1_score"": 0.0, ""correct"": 4, ""total"": 8}}","{""subtle_gray_stripes"": {""accuracy"": 50.0, ""f1_score"": 66.67, ""correct"": 16, ""total"": 32}}","{""angle0"": {""accuracy"": 50.0, ""f1_score"": 66.67, ""correct"": 4, ""total"": 8}, ""angle15"": {""accuracy"": 50.0, ""f1_score"": 66.67, ""correct"": 4, ""total"": 8}, ""angle30"": {""accuracy"": 50.0, ""f1_score"": 66.67, ""correct"": 4, ""total"": 8}, ""angle45"": {""accuracy"": 50.0, ""f1_score"": 66.67, ""correct"": 4, ""total"": 8}}",,,
3,12/1/2025 14:44,20251201_144439,_exp_20251201_164411,_exp_20251201_164411_train,_exp_20251201_164411_test,100,1,42,subtle_gray_stripes,"left,right,up,down",0,"0.0,10.0",640x480,4,12,1,1,none,1,0,0,5,20,20,20,15,0,TRUE,box,center,30,1,FALSE,,,,FALSE,subtle_gray_stripes,"left,right,up,down","0.0,15.0","0.0,10.0",640x480,4,12,1,1,none,1,0,0,5,20,20,15,10,0,TRUE,box,center,30,1,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,1,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,50,33.33,0,0,25,50,0,8,8,8,50,33.33,0,0,25,50,0,8,8,8,"{""subtle_gray_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}","{""angle0"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""angle15"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""subtle_gray_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}","{""angle0"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""angle15"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}",,,
4,12/1/2025 15:02,20251201_150254,_exp_20251201_170226,_exp_20251201_170226_train,_exp_20251201_170226_test,100,1,42,subtle_gray_stripes,"left,right,up,down",0,"0.0,10.0",640x480,4,12,0,1,none,1,0,0,5,20,20,20,15,0,TRUE,box,center,30,1,FALSE,,,,FALSE,subtle_gray_stripes,"left,right,up,down","0.0,15.0","0.0,10.0",640x480,4,12,0,1,none,1,0,0,5,20,20,15,10,0,TRUE,box,center,30,1,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,1,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,50,33.33,0,0,25,50,8,8,0,8,50,50,0,0,50,50,4,8,4,8,"{""subtle_gray_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}","{""angle0"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""angle15"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""subtle_gray_stripes"": {""accuracy"": 50.0, ""f1_score"": 50.0, ""correct"": 8, ""total"": 16}}","{""angle0"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""angle15"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}",,,
5,12/1/2025 15:20,20251201_152037,_exp_20251201_172008,_exp_20251201_172008_train,_exp_20251201_172008_test,100,1,42,subtle_gray_stripes,"left,right,up,down",0,"0.0,10.0",640x480,4,12,0,1,none,1,0,0,5,20,20,20,15,0,TRUE,box,center,30,1,FALSE,,,,FALSE,subtle_gray_stripes,"left,right,up,down","0.0,15.0","0.0,10.0",640x480,4,12,0,1,none,1,0,0,5,20,20,15,10,0,TRUE,box,center,30,1,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,1,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,50,33.33,0,0,25,50,8,8,0,8,50,50,0,0,50,50,4,8,4,8,"{""subtle_gray_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}","{""angle0"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""angle15"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""subtle_gray_stripes"": {""accuracy"": 50.0, ""f1_score"": 50.0, ""correct"": 8, ""total"": 16}}","{""angle0"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""angle15"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}",,,
6,12/1/2025 17:35,20251201_173529,_exp_20251201_193411,_exp_20251201_193411_train,_exp_20251201_193411_test,100,1,42,"factory_dark,factory_dark_stripes,noise,stripes","left,right","0.0,15.0,30.0","0.0,14.0",640x480,4,12,0,1,none,1,0,0,5,20,20,20,15,0,FALSE,,,,,FALSE,,,,FALSE,"factory_dark,factory_dark_stripes,noise,stripes","left,right","45.0,60.0","0.0,14.0",640x480,4,12,0,1,none,1,0,0,5,20,20,15,10,0,FALSE,,,,,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,3,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,50,33.33,0,0,25,50,8,8,0,8,50,33.33,0,0,25,50,8,8,0,8,"{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""angle60"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""angle60"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}",,,
7,12/1/2025 17:48,20251201_174825,_exp_20251201_194618,_exp_20251201_194618_train,_exp_20251201_194618_test,100,1,42,"factory_dark,factory_dark_stripes,noise,stripes","left,right","0.0,15.0,30.0","0.0,14.0",640x480,4,12,0,1,none,1,0,0,5,20,20,20,15,0,FALSE,,,,,FALSE,,,,FALSE,"factory_dark,factory_dark_stripes,noise,stripes","left,right","45.0,60.0","0.0,14.0",640x480,4,12,0,1,none,1,0,0,5,20,20,15,10,0,FALSE,,,,,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,3,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,50,33.33,0,0,25,50,16,16,0,16,50,33.33,0,0,25,50,16,16,0,16,"{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""noise"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}, ""angle60"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}","{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""noise"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}, ""angle60"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}",,,
8,12/1/2025 18:15,20251201_181556,_exp_20251201_201437,_exp_20251201_201437_train,_exp_20251201_201437_test,100,1,42,"factory_dark,factory_dark_stripes,noise,stripes","left,right","0.0,15.0,30.0","0.0,14.0",640x480,4,12,1,1,none,1,0,0,5,20,20,20,15,0,FALSE,,,,,FALSE,,,,FALSE,"factory_dark,factory_dark_stripes,noise,stripes","left,right","45.0,60.0","0.0,14.0",640x480,4,12,1,1,none,1,0,0,5,20,20,15,10,0,FALSE,,,,,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,3,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,50,33.33,0,0,25,50,0,16,16,16,50,33.33,0,0,25,50,16,16,0,16,"{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""noise"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}, ""angle60"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}","{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""noise"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}, ""angle60"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}",,,
9,12/2/2025 9:12,20251202_091245,_exp_20251202_111122,_exp_20251202_111122_train,_exp_20251202_111122_test,100,1,42,"factory_dark,factory_dark_stripes,noise,stripes","left,right","0,15,30","0.0,14.0",640x480,4,12,0,1,none,1,0,0,5,20,20,20,15,0,FALSE,,,,,FALSE,,,,FALSE,"factory_dark,factory_dark_stripes,noise,stripes","left,right","22,45","0.0,14.0",640x480,4,12,0,1,none,1,0,0,5,20,20,15,10,0,FALSE,,,,,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,3,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,50,33.33,0,0,25,50,16,16,0,16,50,33.33,0,0,25,50,16,16,0,16,"{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""noise"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle22"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}, ""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}","{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""noise"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle22"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}, ""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}",,,
10,12/2/2025 10:01,20251202_100136,_exp_20251202_120019,_exp_20251202_120019_train,_exp_20251202_120019_test,100,1,42,"factory_dark,factory_dark_stripes,noise,stripes","left,right","0,15,30","0.0,14.0",640x480,4,12,0,1,none,1,0,0,0.1,20,20,20,15,0,FALSE,,,,,FALSE,,,,FALSE,"factory_dark,factory_dark_stripes,noise,stripes","left,right","22,45","0.0,14.0",640x480,4,12,0,1,none,1,0,0,0.1,20,20,15,10,0,FALSE,,,,,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,3,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,84.38,83.98,0,0,88.1,84.38,11,16,16,16,50,33.33,0,0,25,50,16,16,0,16,"{""factory_dark"": {""accuracy"": 100.0, ""f1_score"": 100.0, ""correct"": 8, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 87.5, ""f1_score"": 87.3, ""correct"": 7, ""total"": 8}, ""noise"": {""accuracy"": 100.0, ""f1_score"": 100.0, ""correct"": 8, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle22"": {""accuracy"": 81.25, ""f1_score"": 80.57, ""correct"": 13, ""total"": 16}, ""angle45"": {""accuracy"": 87.5, ""f1_score"": 87.3, ""correct"": 14, ""total"": 16}}","{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""noise"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle22"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}, ""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}",,,
11,12/2/2025 10:55,20251202_105540,_exp_20251202_125414,_exp_20251202_125414_train,_exp_20251202_125414_test,100,1,42,"factory_dark,factory_dark_stripes,noise,stripes","left,right","0,15,30","0.0,14.0",640x480,4,12,0,1,none,1,0,0,0.1,20,20,20,15,0,FALSE,,,,,FALSE,,,,FALSE,"factory_dark,factory_dark_stripes,noise,stripes","left,right","22,45","0.0,14.0",640x480,4,12,0,1,none,1,0,0,0.1,20,20,15,10,0,FALSE,,,,,FALSE,,,,FALSE,Qwen/Qwen2.5-VL-3B-Instruct,qwen2_vl,saves/qwen2vl-treadmill-lora-pipeline,8,16,0.05,8192,1,8,5.00E-05,3,cosine,0.1,FALSE,TRUE,4,10,100,100,128,1024,4,128,0.8,TRUE,FALSE,FALSE,FALSE,skipped,completed,completed,84.38,83.98,0,0,88.1,84.38,11,16,16,16,50,33.33,0,0,25,50,16,16,0,16,"{""factory_dark"": {""accuracy"": 100.0, ""f1_score"": 100.0, ""correct"": 8, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 87.5, ""f1_score"": 87.3, ""correct"": 7, ""total"": 8}, ""noise"": {""accuracy"": 100.0, ""f1_score"": 100.0, ""correct"": 8, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle22"": {""accuracy"": 81.25, ""f1_score"": 80.57, ""correct"": 13, ""total"": 16}, ""angle45"": {""accuracy"": 87.5, ""f1_score"": 87.3, ""correct"": 14, ""total"": 16}}","{""factory_dark"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""factory_dark_stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""noise"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}, ""stripes"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 4, ""total"": 8}}","{""angle22"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}, ""angle45"": {""accuracy"": 50.0, ""f1_score"": 33.33, ""correct"": 8, ""total"": 16}}",,,
