experiment_id,timestamp,dataset_name,train_dataset_name,model_name_or_path,num_train_epochs,learning_rate,base_model_accuracy,base_model_f1_score,finetuned_model_accuracy,finetuned_model_f1_score
2,12/1/2025 13:14,_exp_20251201_151245,_exp_20251201_151245_train,Qwen/Qwen2.5-VL-3B-Instruct,2,5.00E-05,50,0,50,66.67
3,12/1/2025 14:44,_exp_20251201_164411,_exp_20251201_164411_train,Qwen/Qwen2.5-VL-3B-Instruct,1,5.00E-05,50,33.33,50,33.33
4,12/1/2025 15:02,_exp_20251201_170226,_exp_20251201_170226_train,Qwen/Qwen2.5-VL-3B-Instruct,1,5.00E-05,50,33.33,50,50
5,12/1/2025 15:20,_exp_20251201_172008,_exp_20251201_172008_train,Qwen/Qwen2.5-VL-3B-Instruct,1,5.00E-05,50,33.33,50,50
6,12/1/2025 17:35,_exp_20251201_193411,_exp_20251201_193411_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,50,33.33,50,33.33
7,12/1/2025 17:48,_exp_20251201_194618,_exp_20251201_194618_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,50,33.33,50,33.33
8,12/1/2025 18:15,_exp_20251201_201437,_exp_20251201_201437_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,50,33.33,50,33.33
9,12/2/2025 9:12,_exp_20251202_111122,_exp_20251202_111122_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,50,33.33,50,33.33
10,12/2/2025 10:01,_exp_20251202_120019,_exp_20251202_120019_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,84.38,83.98,50,33.33
11,12/2/2025 10:55,_exp_20251202_125414,_exp_20251202_125414_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,84.38,83.98,50,33.33
12,12/2/2025 11:05,_exp_20251202_130454,_exp_20251202_130454_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,84.38,83.98,50,33.33
13,12/2/2025 11:19,_exp_20251202_131837,_exp_20251202_131837_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,84.38,83.98,90.62,90.54
16,12/2/2025 14:10,_exp_20251202_144656,_exp_20251202_144656_train,Qwen/Qwen2.5-VL-3B-Instruct,5,5.00E-05,77.73,77.26,93.75,93.73
17,12/2/2025 15:23,_exp_20251202_172211,_exp_20251202_172211_train,Qwen/Qwen2.5-VL-3B-Instruct,3,5.00E-05,57.81,57.55,65.62,64.76
18,12/2/2025 16:00,_exp_20251202_175914,_exp_20251202_175914_train,Qwen/Qwen2.5-VL-3B-Instruct,6,5.00E-05,57.81,57.55,70.31,67.44
19,12/2/2025 16:39,_exp_20251202_183458,_exp_20251202_183458_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,56.25,56.08,55.47,55.34
22,12/2/2025 17:40,_exp_20251202_194040,_exp_20251202_194040_train,Qwen/Qwen2.5-VL-3B-Instruct,1,5.00E-05,100,100,100,100
23,12/2/2025 17:49,_exp_20251202_194605,_exp_20251202_194605_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,89.84,89.74,78.12,77.03
24,12/3/2025 9:14,_exp_20251202_194605,_exp_20251202_194605_train,Qwen/Qwen2.5-VL-3B-Instruct,10,5.00E-05,89.84,89.74,75.39,73.8
25,12/3/2025 9:50,_exp_20251203_114718,_exp_20251203_114718_train,Qwen/Qwen2.5-VL-3B-Instruct,6,5.00E-05,100,100,93.75,93.73
26,12/3/2025 12:25,_exp_20251203_142244,_exp_20251203_142244_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,50,33.33,98.83,98.83
28,12/3/2025 14:27,_exp_20251203_153238,_exp_20251203_153238_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,50,33.33,99.22,99.22
28,12/3/2025 14:27,_exp_20251203_153238,_exp_20251203_153238_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,50,33.33,99.22,99.22
30,12/3/2025 15:35,_exp_20251203_153238,_exp_20251203_153238_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,50,33.33,99.22,99.22
,,,,,,,,,,
32,12/3/2025 17:39,_exp_20251203_153238,_exp_20251203_153238_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,50,33.33,50,33.33
33,12/3/2025 18:41,_exp_20251203_153238,_exp_20251203_153238_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,50,33.33,99.22,99.22
34,12/3/2025 19:09,_exp_20251203_153238,_exp_20251203_153238_train,Qwen/Qwen2.5-VL-3B-Instruct,5,5.00E-05,50,33.33,50,33.33
35,12/4/2025 8:46,_exp_20251203_153238,_exp_20251203_153238_train,Qwen/Qwen2.5-VL-3B-Instruct,7,5.00E-05,50,33.33,50,33.33
4,12/4/2025 11:12,_exp_20251203_153238,_exp_20251203_153238_train,Qwen/Qwen2.5-VL-3B-Instruct,cosine,5.00E-05,50,33.33,50,33.33
2,12/4/2025 12:21,_exp_20251204_133345,_exp_20251204_133345_train,Qwen/Qwen2.5-VL-3B-Instruct,cosine,5.00E-05,50,33.33,99.22,99.22
3,12/4/2025 14:06,_exp_20251204_133345,_exp_20251204_133345_train,Qwen/Qwen2.5-VL-3B-Instruct,cosine,5.00E-05,50,33.33,98.83,98.83
4,12/4/2025 15:14,_exp_20251204_171014,_exp_20251204_171014_train,Qwen/Qwen2.5-VL-3B-Instruct,cosine,5.00E-05,33.33,25,99.48,99.41
5,12/4/2025 16:11,_exp_20251204_171014,_exp_20251204_171014_train,Qwen/Qwen2.5-VL-3B-Instruct,cosine,5.00E-05,83.59,83.11,99.22,99.12
6,12/4/2025 16:58,_exp_20251204_133345,_exp_20251204_133345_train,Qwen/Qwen2.5-VL-3B-Instruct,cosine,5.00E-05,50,33.33,99.22,99.22
