video_name,index,texture,direction,speed,angle,brightness,contrast,stripe_contrast,background_contrast,object_enabled,object_type,num_objects,object_size,object_position,blur_enabled,blur_type,blur_intensity,blur_variation,resolution,seed
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle0_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1200.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1200
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle0_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1300.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1300
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle0_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1400.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1400
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle0_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1500.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1500
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle0_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1600.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1600
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1201.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1201
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1301.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1301
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1401.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1401
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1501.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1501
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1601.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1601
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle0_dist1.05_distrand_bright0.00_contr1.00_640x480_seed1205.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1205
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle0_dist1.05_distrand_bright0.00_contr1.00_640x480_seed1305.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1305
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle0_dist1.05_distrand_bright0.00_contr1.00_640x480_seed1405.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1405
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle0_dist1.05_distrand_bright0.00_contr1.00_640x480_seed1505.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1505
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle0_dist1.05_distrand_bright0.00_contr1.00_640x480_seed1605.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1605
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle30_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1206.mp4,0000,subtle_gray_stripes,left,14.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1206
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle30_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1306.mp4,0000,subtle_gray_stripes,left,14.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1306
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle30_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1406.mp4,0000,subtle_gray_stripes,left,14.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1406
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle30_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1506.mp4,0000,subtle_gray_stripes,left,14.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1506
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle30_dist1.01_distrand_bright0.00_contr1.00_640x480_seed1606.mp4,0000,subtle_gray_stripes,left,14.0,30,0.00,1.00,226,120,no,,,,,no,,,no,640x480,1606
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle0_dist1.08_distrand_bright0.00_contr1.00_640x480_seed1202.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1202
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle0_dist1.08_distrand_bright0.00_contr1.00_640x480_seed1302.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1302
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle0_dist1.08_distrand_bright0.00_contr1.00_640x480_seed1402.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1402
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle0_dist1.08_distrand_bright0.00_contr1.00_640x480_seed1502.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1502
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle0_dist1.08_distrand_bright0.00_contr1.00_640x480_seed1602.mp4,0000,subtle_gray_stripes,left,0.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1602
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1203.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1203
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1303.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1303
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1403.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1403
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1503.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1503
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle30_dist1.02_distrand_bright0.00_contr1.00_640x480_seed1603.mp4,0000,subtle_gray_stripes,left,0.0,30,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1603
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed14.0_angle0_dist1.06_distrand_bright0.00_contr1.00_640x480_seed1207.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1207
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed14.0_angle0_dist1.06_distrand_bright0.00_contr1.00_640x480_seed1307.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1307
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed14.0_angle0_dist1.06_distrand_bright0.00_contr1.00_640x480_seed1407.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1407
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed14.0_angle0_dist1.06_distrand_bright0.00_contr1.00_640x480_seed1507.mp4,0000,subtle_gray_stripes,left,14.0,0,0.00,1.00,226,121,no,,,,,no,,,no,640x480,1507
